label,x_left,y_left,x_right,y_right
left,0.252959847,0.555909097,0.245356083,0.571058393
down,0.528479517,0.751743317,0.522053242,0.738799274
right,0.800171435,0.492732257,0.797051668,0.475340635
up,0.441929936,0.168307841,0.444148928,0.166882411
down,0.57654959,0.707857966,0.574017286,0.719063461
up,0.489491373,0.347958118,0.488147825,0.343330085
left,0.302762717,0.420511812,0.306931973,0.431260884
right,0.665541589,0.539948702,0.672774792,0.544896841
left,0.220696926,0.555936635,0.222243741,0.574874878
right,0.743422747,0.528438926,0.746034801,0.541719139
right,0.731443346,0.467574775,0.734252512,0.478687465
left,0.227719367,0.492733032,0.22857447,0.510890424
right,0.823898554,0.43160674,0.821006835,0.42027083
down,0.50805825,0.806199014,0.50616014,0.797766626
left,0.204119116,0.499425113,0.206176847,0.510081768
right,0.710877836,0.432667226,0.713187277,0.436745346
left,0.338705331,0.527693689,0.342210382,0.542119563
right,0.765335619,0.463562489,0.761165559,0.464589596
down,0.449440837,0.802687824,0.451840013,0.800886214
left,0.342440844,0.516602457,0.345372349,0.530683339
up,0.456585646,0.171518549,0.461897433,0.166551396
up,0.458801359,0.279379576,0.46516034,0.278791666
up,0.562937498,0.18031095,0.569108963,0.175482169
up,0.517987013,0.242283717,0.522132456,0.242285579
down,0.547211707,0.767639697,0.545270324,0.754043162
down,0.539522886,0.85679549,0.541952372,0.841129541
left,0.242806152,0.422572613,0.244773239,0.439206898
left,0.128601253,0.401314706,0.126649469,0.425382167
right,0.838155508,0.553030789,0.834516466,0.560166121
left,0.292509794,0.523328722,0.295194417,0.540776789
right,0.838823915,0.447301358,0.842800736,0.445929706
left,0.272935778,0.518896163,0.280525804,0.532696307
down,0.495694757,0.802558184,0.497093022,0.786030352
left,0.22201629,0.48810789,0.222597107,0.497230887
right,0.828487039,0.563910484,0.827540159,0.564393401
up,0.546358347,0.327135682,0.547888875,0.329583913
right,0.798370719,0.429074794,0.798498094,0.431687385
right,0.896909773,0.541060507,0.896548092,0.537089348
left,0.160794169,0.538978398,0.160431042,0.557635367
down,0.532970965,0.82047534,0.536032975,0.816339076
down,0.583684027,0.728363752,0.589319944,0.747841775
left,0.128772408,0.414337993,0.127647236,0.435065746
right,0.878806055,0.522561789,0.878667831,0.522661209
right,0.83680743,0.458225906,0.836492777,0.460963219
up,0.508717358,0.180863142,0.514529407,0.182332769
up,0.504875243,0.328088254,0.503522515,0.33144787
right,0.784353673,0.453792393,0.790292203,0.460564792
left,0.178161681,0.435534984,0.181722298,0.4666996
left,0.264486492,0.45538646,0.267516017,0.475984216
up,0.465529233,0.1616375,0.472431958,0.163736835
left,0.327620476,0.479705721,0.325873554,0.486819714
down,0.517470717,0.740208566,0.514893115,0.743845403
down,0.50704968,0.852573037,0.506626487,0.855142534
left,0.170570299,0.533655703,0.168077335,0.565346301
left,0.26334393,0.550698817,0.262954026,0.572517335
right,0.875899732,0.457097232,0.879996836,0.454152793
up,0.491151422,0.181353748,0.498259902,0.18899487
up,0.500909805,0.34667775,0.491637737,0.35221231
down,0.472422689,0.779912233,0.470215797,0.775616467
down,0.48254931,0.778390646,0.482222855,0.780398548
left,0.123353124,0.420194894,0.123832829,0.444165051
left,0.252239496,0.4573268,0.250761271,0.479180902
up,0.46520555,0.305084527,0.467646897,0.305764735
left,0.225810722,0.456346154,0.229517356,0.481422514
down,0.46483478,0.665404201,0.456350714,0.683272302
down,0.476366073,0.709865153,0.47096774,0.719169378
right,0.677145422,0.461291879,0.682635486,0.477254212
left,0.120923877,0.525552511,0.122685306,0.558795571
down,0.471135646,0.692824662,0.474168748,0.710319102
right,0.667801082,0.42117542,0.670946181,0.433031082
left,0.253481805,0.533978641,0.25907132,0.565695524
down,0.582882524,0.705506146,0.579741478,0.710812151
up,0.577403843,0.317015857,0.575529575,0.320055127
down,0.451855391,0.707446218,0.449189574,0.732722223
up,0.43506667,0.20049648,0.435313523,0.209876165
down,0.520740867,0.853793502,0.519163847,0.852834523
right,0.819197476,0.432249337,0.822300851,0.446377933
up,0.575179994,0.18933481,0.578571856,0.177428603
up,0.581044197,0.156310812,0.580789328,0.145947427
right,0.796141446,0.433113486,0.797038138,0.439053893
left,0.29542309,0.476412117,0.290835559,0.503034472
left,0.206406116,0.533545196,0.207054004,0.574044406
up,0.590433657,0.265215367,0.587907672,0.266530275
down,0.565524578,0.741542101,0.569115162,0.773920476
up,0.532306969,0.237541482,0.536373913,0.242909804
left,0.256648809,0.427266866,0.257872492,0.455202013
down,0.569254577,0.66522783,0.573389113,0.67157793
down,0.451507002,0.632632196,0.455837607,0.644001186
down,0.518816769,0.745644033,0.526247323,0.780950963
down,0.520891607,0.71286267,0.524958313,0.738995016
left,0.270332038,0.504579246,0.267721862,0.527001977
right,0.793287635,0.461068541,0.789386928,0.471855909
up,0.474087596,0.23810266,0.476223767,0.239902496
right,0.788450241,0.490699768,0.787819445,0.498615235
up,0.555826843,0.226375237,0.559474528,0.233422324
down,0.556756139,0.82430023,0.55849874,0.821315944
left,0.320265651,0.540205419,0.325938821,0.558873713
left,0.349665731,0.409019738,0.349631041,0.430290878
left,0.221207917,0.525669813,0.223203331,0.559509337
up,0.443799376,0.221213013,0.444595814,0.228625208
right,0.672230482,0.495984077,0.671618879,0.509205282
up,0.526989877,0.250689328,0.527917862,0.256020635
left,0.339396566,0.416176617,0.343992919,0.440952271
up,0.514288485,0.125296608,0.51959902,0.141970888
right,0.891861856,0.558845103,0.892630339,0.560460329
right,0.736361742,0.419270545,0.740146637,0.440597415
left,0.239663139,0.422018737,0.239562184,0.460118949
right,0.690806091,0.526894748,0.693884909,0.547423422
down,0.488206297,0.679095566,0.487350851,0.692150891
down,0.58029747,0.68802464,0.573020816,0.697807789
left,0.238549277,0.523771584,0.241966069,0.571258605
right,0.74777776,0.440070897,0.747247517,0.454741985
down,0.487993807,0.735265493,0.486993581,0.75549531
down,0.501118243,0.653984964,0.499407083,0.679001451
right,0.716728687,0.501013577,0.717901051,0.532733679
down,0.512015522,0.806419015,0.520590603,0.851848662
left,0.256430507,0.531013668,0.253100008,0.561326921
down,0.483287454,0.724770486,0.48217237,0.726740599
right,0.863777578,0.547101736,0.872899473,0.556134224
up,0.456816465,0.27188015,0.461665601,0.27481702
down,0.512481332,0.665525973,0.513877809,0.68897289
down,0.432868004,0.855530798,0.435015947,0.854308665
up,0.505229175,0.322336495,0.508420825,0.32046169
up,0.543142259,0.231830776,0.544345975,0.242280066
left,0.179397061,0.4303464,0.181892142,0.454780102
left,0.134691298,0.565341413,0.13505435,0.585729837
up,0.54144001,0.262109309,0.538297176,0.251788467
right,0.750383615,0.412592888,0.755673766,0.417247415
down,0.48511067,0.696629286,0.483567208,0.705392838
up,0.4513973,0.192677498,0.451396376,0.197693422
down,0.486636639,0.8521384,0.48896417,0.850462377
left,0.260456353,0.435762525,0.261566877,0.466053575
right,0.796169698,0.55314219,0.788688719,0.56530869
left,0.325218707,0.488137335,0.326931447,0.503011286
up,0.474349022,0.333725363,0.473959714,0.341871381
right,0.702244818,0.487333179,0.703712225,0.509895086
left,0.320156604,0.528914213,0.322427899,0.550355434
right,0.70135957,0.434933305,0.701020479,0.45617035
right,0.76220876,0.459094971,0.760513365,0.471200556
left,0.338622361,0.47514686,0.340146244,0.508767962
left,0.300234765,0.43135184,0.303495049,0.459481239
