label,x_left,y_left,x_right,y_right
left,0.498833448,0.511454523,0.491945088,0.500311673
down,0.499464065,0.503246129,0.496591002,0.503096819
right,0.506187499,0.522125185,0.506237686,0.499894589
up,0.502704799,0.498929322,0.501487792,0.503343642
down,0.500961423,0.506372094,0.496988386,0.49827674
up,0.500943005,0.500575244,0.492563903,0.490859121
left,0.496842831,0.499013156,0.499340624,0.504893899
right,0.496215731,0.501093626,0.497378379,0.502587736
left,0.491998404,0.508372307,0.493723869,0.50118953
right,0.498364002,0.498661906,0.500418246,0.496962368
right,0.499544919,0.499297142,0.498265237,0.497995645
left,0.504633904,0.505054772,0.500558436,0.49991101
right,0.502266645,0.503190935,0.50002104,0.498458952
down,0.500332594,0.497407168,0.497315526,0.499885082
left,0.497545242,0.507446766,0.494282693,0.503330827
right,0.50259012,0.499013901,0.496807098,0.498015046
left,0.496906579,0.499265075,0.495242476,0.494161218
right,0.496909261,0.502439439,0.494832516,0.50515008
down,0.495559573,0.505539894,0.497529805,0.506493568
left,0.476984769,0.493138969,0.474706262,0.508656025
up,0.496778846,0.50461483,0.496068388,0.501664519
up,0.498693109,0.492079645,0.499869525,0.494302571
up,0.49956876,0.487148374,0.500150919,0.4935458
up,0.500618041,0.497509927,0.499716312,0.49956733
down,0.504250169,0.489226371,0.50045085,0.492875129
down,0.500963151,0.509898424,0.49442035,0.509787679
left,0.504906654,0.509973943,0.50373441,0.505438626
left,0.499881178,0.495819598,0.500358343,0.49008885
right,0.500705004,0.492940456,0.499842763,0.490841955
left,0.500966012,0.507959485,0.498860657,0.505762815
right,0.501271367,0.499875456,0.500859022,0.497020632
left,0.493749052,0.494112879,0.496181875,0.50125432
down,0.49677965,0.51832515,0.494187862,0.499668151
left,0.493217021,0.499043733,0.495901316,0.493484616
right,0.501798987,0.500496209,0.49851799,0.500607729
up,0.495037258,0.490409374,0.496646762,0.498431712
right,0.499908149,0.49764207,0.497357965,0.494211078
right,0.500373006,0.491563678,0.495211005,0.496665508
left,0.496829242,0.498588651,0.499118119,0.497676194
down,0.503401339,0.495876402,0.500237703,0.501474261
down,0.49924919,0.489484042,0.497596532,0.497875243
left,0.498784751,0.505722642,0.494130254,0.50085032
right,0.492400199,0.488395572,0.493401527,0.499740303
right,0.495485902,0.495081067,0.496023297,0.494471282
up,0.498366058,0.485174358,0.499500841,0.494430333
up,0.491484433,0.501985312,0.489510059,0.512567818
