label,x_left,y_left,x_right,y_right
left,0.506192863,0.5085513,0.498663992,0.501266599
down,0.503975034,0.508137226,0.500104845,0.504255295
right,0.506556451,0.523671925,0.504291058,0.498297662
up,0.507490516,0.516494811,0.504164338,0.510893822
down,0.49847734,0.499251246,0.499802083,0.499162644
up,0.508998096,0.513656259,0.500328243,0.493274987
left,0.499932259,0.502415419,0.500872612,0.506030262
right,0.497584611,0.510271668,0.496326327,0.507602513
left,0.492533565,0.505822837,0.494108975,0.501335442
right,0.497315288,0.507016599,0.499326736,0.494745642
right,0.48745659,0.50413233,0.486613721,0.503018916
left,0.492100358,0.510504305,0.488509446,0.508106291
right,0.494701892,0.50279963,0.497116476,0.495500952
down,0.497998029,0.506146133,0.496036798,0.514114618
left,0.498493284,0.501504064,0.495913297,0.501234114
right,0.497547716,0.495843977,0.492709458,0.496094137
left,0.497297555,0.495409399,0.496270657,0.495301932
right,0.501883984,0.521184206,0.497511744,0.510377586
down,0.487392157,0.51359576,0.48517856,0.518590748
left,0.509236217,0.502731919,0.503511429,0.496261686
up,0.499876142,0.51184535,0.498707503,0.494344592
up,0.496498108,0.495729953,0.49866581,0.502276123
up,0.503338158,0.493968189,0.499492496,0.492289215
up,0.499940276,0.494058102,0.499740094,0.501408935
down,0.506222188,0.490014315,0.504628003,0.493190676
down,0.505612075,0.516149163,0.496879369,0.511477768
left,0.504496992,0.523756027,0.502814949,0.507077396
left,0.501741767,0.499179631,0.501772821,0.488445878
right,0.49407655,0.490451425,0.494762689,0.48596704
left,0.498850077,0.497033566,0.496668935,0.489894181
right,0.496628761,0.506482363,0.496484458,0.495455772
left,0.501133919,0.502413273,0.495139837,0.502286732
down,0.495445311,0.5197317,0.494982541,0.501307011
left,0.50364387,0.532154799,0.501537085,0.50579381
right,0.504949987,0.524276555,0.5004825,0.507352352
up,0.498460799,0.493731767,0.501729727,0.49524495
right,0.501165092,0.493625939,0.499428868,0.49184978
right,0.507584214,0.498636365,0.503803551,0.503306448
left,0.49801445,0.491805434,0.496170014,0.499197513
down,0.502629936,0.496558547,0.498277009,0.506068647
down,0.50497812,0.503460348,0.499187499,0.520341992
left,0.500389457,0.504589319,0.494581997,0.503313124
right,0.502089202,0.496243834,0.501559734,0.502662241
right,0.499526948,0.494456857,0.495209247,0.492955953
up,0.498789191,0.487319261,0.497740954,0.497025102
up,0.494232386,0.493453115,0.487662613,0.505090117
right,0.494727582,0.507606387,0.496265382,0.498995215
left,0.496930808,0.509658635,0.493206739,0.507854819
left,0.500155449,0.493346214,0.496095777,0.501259744
up,0.500875294,0.499713719,0.496722311,0.512099087
left,0.499303371,0.499737918,0.496532321,0.503894031
down,0.500761271,0.5138942,0.492494226,0.513265014
down,0.498723328,0.504128933,0.492968678,0.498685062
left,0.505796731,0.493773639,0.497975796,0.504876554
left,0.497692496,0.492632836,0.495445758,0.50578022
right,0.498194128,0.503474414,0.494402021,0.518227518
up,0.500233233,0.483708322,0.494586796,0.502049208
up,0.497865587,0.498424888,0.49546501,0.49706918
down,0.504718184,0.500047386,0.498345584,0.500212908
down,0.504527092,0.503800571,0.499985963,0.508290708
left,0.499913514,0.491758078,0.496286839,0.500192106
left,0.502333105,0.501634479,0.496449649,0.511913717
up,0.498820484,0.492787808,0.493360132,0.501527548
left,0.498160392,0.487529486,0.492610961,0.498042554
down,0.501405954,0.501761198,0.49630186,0.509506941
down,0.510884583,0.528367281,0.500918925,0.514089584
right,0.502675593,0.505185783,0.499206036,0.509221852
left,0.50294137,0.487622142,0.505093992,0.498809814
down,0.503643513,0.497983277,0.500197589,0.512488365
right,0.502799392,0.500811338,0.499966353,0.518432081
left,0.494944483,0.486494184,0.493450761,0.492937863
down,0.500719309,0.48610878,0.497717947,0.498060793
up,0.495225042,0.49448365,0.493396491,0.503441751
down,0.504574716,0.486270934,0.502094448,0.501193762
up,0.501966536,0.488451749,0.495837241,0.498946011
down,0.496362001,0.481739432,0.492974162,0.49874118
right,0.493832111,0.479875833,0.489804,0.501619339
