label,x_left,y_left,x_right,y_right
left,0.499775976,0.517231226,0.491764545,0.504804254
down,0.50523752,0.50676769,0.496504158,0.500168502
right,0.506210148,0.527834177,0.504669785,0.499778479
up,0.501075327,0.511947095,0.499318123,0.500784457
down,0.499014378,0.49508965,0.497997135,0.499096692
up,0.510049105,0.505305529,0.502136767,0.483091176
left,0.500471592,0.507523775,0.501212776,0.509007514
right,0.510694206,0.493824005,0.507762313,0.497056454
left,0.499193102,0.506772459,0.497570902,0.501735985
right,0.504087687,0.502693057,0.505549729,0.493431538
right,0.492868543,0.506953299,0.491186321,0.501380801
left,0.504270911,0.494525909,0.503498197,0.489016801
right,0.497567475,0.511145353,0.497935116,0.504769504
down,0.495532274,0.500285327,0.488849342,0.51635617
left,0.50183773,0.520563662,0.497285187,0.515802145
right,0.506638765,0.505283654,0.503174365,0.503419459
left,0.500810444,0.499004751,0.491532803,0.497409999
right,0.500413775,0.524069846,0.488358051,0.522105873
down,0.489354402,0.508935809,0.487135142,0.512963235
left,0.506251633,0.521216094,0.499779195,0.493806779
up,0.499523282,0.509527266,0.497053653,0.497903258
up,0.497113436,0.502057493,0.497674167,0.520242691
up,0.502613306,0.497143954,0.500669122,0.492305011
up,0.501203954,0.50277859,0.501537323,0.513936996
down,0.502735257,0.488235056,0.500514627,0.502588391
down,0.507615268,0.522146165,0.501641393,0.511167049
left,0.50616926,0.528685331,0.500358045,0.50506562
left,0.499391973,0.495004982,0.501837492,0.492962688
right,0.501125336,0.47145611,0.500826895,0.477087557
left,0.500030935,0.496234685,0.492949903,0.494078815
right,0.492705017,0.515593648,0.489387631,0.504953504
left,0.504000723,0.505634189,0.502246797,0.507451892
down,0.498300076,0.516032219,0.497205526,0.501188397
left,0.497602969,0.549690008,0.495026827,0.541227639
right,0.503435969,0.524866998,0.497596115,0.506820977
up,0.480542868,0.492460519,0.480390459,0.497886449
right,0.496550441,0.493698806,0.494805247,0.496360272
right,0.50442183,0.5116781,0.501984835,0.510974288
left,0.493948251,0.503464758,0.490816563,0.509551466
down,0.503689945,0.503168583,0.50468713,0.51089257
down,0.502447486,0.515413523,0.498927295,0.513943136
left,0.499740034,0.509276032,0.499080837,0.506069243
right,0.500531793,0.492722809,0.500709295,0.496005952
right,0.495747954,0.502212048,0.491807193,0.507198453
up,0.498417616,0.481262535,0.496266186,0.497335672
up,0.504335582,0.472913265,0.499827266,0.489411712
right,0.496046871,0.510030806,0.491678089,0.497973025
left,0.498578161,0.512085736,0.500882387,0.508850992
left,0.502568305,0.505707204,0.49838388,0.507219255
up,0.499896497,0.504047573,0.496228755,0.517035425
left,0.498825788,0.504667401,0.490656853,0.518734097
down,0.506505907,0.526182115,0.489310175,0.520954549
down,0.494823426,0.516246021,0.487713635,0.508053184
left,0.508089125,0.507318795,0.500082552,0.512044847
left,0.502580225,0.493334681,0.500967979,0.509978354
right,0.50264746,0.50486964,0.49936974,0.514073133
up,0.496525109,0.488914251,0.490744382,0.509195149
up,0.496108651,0.493298024,0.484680414,0.502193213
down,0.508630097,0.493256778,0.49752298,0.496735245
down,0.504613459,0.515122116,0.499196231,0.52091068
left,0.501683831,0.50541985,0.495831937,0.51486665
left,0.52049166,0.496649384,0.521430254,0.511390805
up,0.492874265,0.487532049,0.48600474,0.503947854
left,0.498828232,0.470627278,0.491713494,0.486698151
down,0.499528885,0.506621957,0.495050579,0.508682668
down,0.50402379,0.526107788,0.496626943,0.517097652
right,0.502924621,0.521834552,0.498794198,0.518972158
left,0.503608763,0.494466662,0.501548588,0.499889374
down,0.496829599,0.502580225,0.494514495,0.516769648
right,0.502991736,0.512362421,0.49864912,0.528030455
left,0.498680323,0.480167747,0.497880906,0.484104931
down,0.490272969,0.490844995,0.488997847,0.500100553
up,0.497550488,0.503252983,0.494314939,0.510183573
