label,x_left,y_left,x_right,y_right
left,0.297095239,0.550620496,0.291616619,0.558941126
down,0.523373067,0.698360384,0.51856637,0.693433106
right,0.739053667,0.501157999,0.740734994,0.484297752
up,0.457530618,0.242234796,0.459175885,0.236514568
down,0.563037455,0.664182603,0.558512747,0.670639932
up,0.498004735,0.389507264,0.492910832,0.37948525
left,0.327921897,0.431079954,0.336731881,0.436109513
right,0.635190904,0.523824751,0.642433643,0.525840342
left,0.26077944,0.556498945,0.265781194,0.571287572
right,0.715862274,0.522738218,0.720885813,0.529509187
right,0.682368338,0.479275107,0.687093258,0.483581275
left,0.264855653,0.487345487,0.266448468,0.500355124
right,0.757196009,0.448326617,0.756404519,0.439470679
down,0.508760571,0.75263536,0.505796254,0.751991689
left,0.248319536,0.515340865,0.249423072,0.523377895
right,0.657237649,0.4556261,0.660048902,0.458526313
left,0.369888335,0.524235666,0.373206884,0.529334486
right,0.738748729,0.47489965,0.738918543,0.479617387
down,0.464937955,0.715765417,0.468351632,0.71752125
left,0.363454074,0.506035566,0.368052691,0.522841871
up,0.465084046,0.256229609,0.471185505,0.248061553
up,0.466461778,0.321384162,0.472180724,0.3190175
up,0.552618086,0.256393552,0.557985663,0.251217812
up,0.516221046,0.28732568,0.518915951,0.28551659
down,0.530803144,0.652581096,0.527358472,0.648186028
down,0.532898307,0.784581721,0.53270185,0.778766632
left,0.274016559,0.449678868,0.277671933,0.458225846
left,0.205995888,0.423897862,0.210049137,0.442118526
right,0.799056232,0.538650036,0.79938066,0.542641878
left,0.310219109,0.526446581,0.313551515,0.544178069
right,0.775757015,0.469860733,0.784408331,0.467042148
left,0.289537638,0.528321445,0.299063027,0.540834486
down,0.490232646,0.764737725,0.490496725,0.749464571
left,0.264147311,0.491694838,0.26992476,0.499360114
right,0.786166906,0.548669159,0.787909269,0.547009408
up,0.539798915,0.353010088,0.542106211,0.352793276
right,0.760451078,0.463551164,0.764071643,0.461533666
right,0.842244685,0.535008311,0.842724025,0.530100107
left,0.19938606,0.539895952,0.206169352,0.552069902
down,0.525577664,0.769252062,0.525372326,0.769787967
down,0.577310741,0.72403878,0.579099178,0.742078841
left,0.176410303,0.440489382,0.177034959,0.45036146
right,0.872933447,0.533515632,0.876148999,0.535590053
right,0.795799255,0.465061545,0.80151844,0.471551389
up,0.508389533,0.239641726,0.514454246,0.237032354
up,0.504298985,0.357834369,0.504162431,0.357650548
right,0.744299352,0.465622932,0.753397763,0.469471097
left,0.193858445,0.437235713,0.200393781,0.46208933
left,0.294901878,0.46672222,0.299581945,0.483556151
up,0.473113149,0.201714858,0.478756517,0.203957334
left,0.316391855,0.479741395,0.316842198,0.487859219
down,0.516466558,0.699530005,0.512792289,0.711183786
down,0.509957552,0.818017781,0.506045103,0.819186985
left,0.217921838,0.524046183,0.216161489,0.571482539
left,0.294957638,0.54936862,0.295943886,0.570308745
right,0.853977978,0.474541932,0.861256599,0.467562109
up,0.497882545,0.250617534,0.500011742,0.257165104
up,0.507717073,0.36414957,0.497799784,0.364385217
down,0.467288762,0.732488632,0.464561939,0.734227955
down,0.493181348,0.743872285,0.490247905,0.747542202
left,0.179739177,0.440668881,0.18033652,0.452482194
left,0.278088778,0.462654203,0.27368325,0.48394689
up,0.466400504,0.31718114,0.468032748,0.321157217
left,0.251155704,0.47481966,0.255843192,0.492047101
down,0.452695459,0.668648064,0.445050716,0.686315715
down,0.474475503,0.693804324,0.47216928,0.705554783
right,0.673807204,0.475438088,0.678711057,0.491537839
left,0.203750759,0.510753572,0.2102786,0.535681129
down,0.478349894,0.677892745,0.479249388,0.693339586
right,0.66192764,0.432489693,0.666214526,0.44871971
left,0.295329988,0.525804222,0.304054499,0.553915203
down,0.577408433,0.656542838,0.571902037,0.665647924
up,0.574360907,0.335452199,0.576804638,0.336437911
down,0.468977243,0.645996213,0.46434325,0.669006765
up,0.450265288,0.27570349,0.445605487,0.288835019
down,0.516188741,0.726176441,0.510247469,0.743612885
right,0.796451926,0.440965623,0.801684797,0.458584517
up,0.556768954,0.292280734,0.556628883,0.283069164
up,0.559985399,0.261483043,0.56090039,0.254150659
right,0.742984951,0.447927117,0.743458033,0.454122335
left,0.341263324,0.481659025,0.335509062,0.504406333
left,0.24304685,0.535611629,0.245929971,0.563023031
up,0.585524797,0.30070132,0.582704306,0.300920278
down,0.567687094,0.691860616,0.566374779,0.717657983
up,0.529409468,0.274372846,0.532801867,0.272130221
left,0.28749007,0.448698431,0.294679821,0.470747024
down,0.567206979,0.651757777,0.568866491,0.656766772
down,0.459110379,0.604062557,0.460181057,0.615901589
down,0.516818762,0.676193833,0.523181736,0.705008447
down,0.530593157,0.698232412,0.532711208,0.721794128
left,0.272134185,0.515680552,0.272316217,0.536470175
right,0.754573643,0.479846597,0.756560504,0.484916985
up,0.478785068,0.288059831,0.480641454,0.286980778
right,0.744492531,0.490648627,0.74724561,0.504186213
up,0.551293075,0.29513967,0.551434994,0.30082801
down,0.540483713,0.738357127,0.537657022,0.747012496
left,0.324764699,0.543689072,0.332669765,0.564222753
left,0.364997655,0.432114422,0.362964332,0.444833875
left,0.226896241,0.536165476,0.233828843,0.566690981
up,0.452851653,0.271212548,0.452932566,0.278331161
right,0.658563972,0.499280274,0.660966337,0.51024437
up,0.530390501,0.293322742,0.525987387,0.295802236
left,0.350192994,0.422380716,0.356371403,0.441471189
up,0.51402545,0.185399815,0.519345284,0.199765205
right,0.84066391,0.558084548,0.847326338,0.562708259
right,0.735239744,0.442102432,0.743766367,0.46348688
left,0.254558831,0.44163692,0.261292011,0.476070583
right,0.647952437,0.521276414,0.652487755,0.540481329
down,0.498645008,0.653587162,0.495919198,0.665651083
down,0.551980436,0.603217304,0.550168216,0.619113207
left,0.274579018,0.518087626,0.282883763,0.555157483
right,0.705231249,0.460170984,0.703670681,0.47310552
down,0.491698653,0.688508093,0.48751843,0.71323055
down,0.510613739,0.622862399,0.507216156,0.646002591
right,0.714206159,0.512220025,0.72019583,0.544603348
down,0.511527598,0.732509196,0.510519505,0.770787418
left,0.293673396,0.534319162,0.289979309,0.556586206
down,0.47238034,0.701546252,0.471911699,0.717909455
right,0.816377282,0.522789299,0.809123099,0.538450301
up,0.462531567,0.311793715,0.468926251,0.314331651
down,0.514984071,0.653720379,0.517791152,0.679243863
down,0.428603947,0.841586351,0.433192909,0.85527128
up,0.508443415,0.333266765,0.507322729,0.328807622
up,0.544365466,0.26853472,0.544160783,0.27610293
left,0.204389811,0.455292821,0.210922107,0.468593568
left,0.180620313,0.564517796,0.189936787,0.579562724
up,0.530210972,0.314154953,0.528714538,0.309294641
right,0.724732697,0.438409418,0.731083035,0.443536073
