label,x_left,y_left,x_right,y_right
left,0.503941357,0.509865165,0.498927683,0.499814779
down,0.500259042,0.500433981,0.496384352,0.500985086
right,0.508700132,0.524890006,0.505307734,0.504380286
up,0.505008936,0.505455196,0.503334403,0.506195784
down,0.499655426,0.499543786,0.498074174,0.493780792
up,0.500528097,0.498907059,0.492873371,0.493711561
left,0.497168839,0.503665328,0.500559986,0.503941
right,0.495060951,0.499376327,0.496284276,0.502750099
left,0.492266357,0.507602692,0.494773269,0.499206811
right,0.497926146,0.499906272,0.499912262,0.496927053
right,0.500611901,0.501767695,0.499418169,0.502345502
left,0.504269421,0.51642108,0.500557721,0.504349947
right,0.501281202,0.504529238,0.501062274,0.496896297
down,0.499833465,0.497471631,0.498124897,0.502899706
left,0.499481291,0.501649976,0.494597167,0.502517939
right,0.497516751,0.498540848,0.492845714,0.495402068
left,0.49928084,0.49462834,0.494937867,0.492653668
right,0.499041736,0.512617052,0.494629741,0.504349172
down,0.497837931,0.511073411,0.49864313,0.513725638
left,0.498504043,0.495736092,0.491770655,0.5034554
up,0.501039445,0.510630965,0.500480652,0.501221001
up,0.498336107,0.490823656,0.499463469,0.497160405
up,0.499446839,0.492458999,0.499461532,0.498170942
up,0.500256777,0.496441185,0.500404358,0.49861899
down,0.504912376,0.489212871,0.500190914,0.493500054
down,0.503692567,0.517669201,0.494481921,0.514092386
left,0.505030334,0.518366158,0.505147278,0.504134655
left,0.500158846,0.501033545,0.500162661,0.49359858
right,0.498028278,0.497912765,0.497272134,0.491734803
left,0.50642091,0.502237499,0.504631639,0.501329362
right,0.500710607,0.504846692,0.496333003,0.497405052
left,0.498902142,0.499049842,0.495160937,0.501612782
down,0.49840796,0.524996817,0.495526224,0.502887666
left,0.49982813,0.514811754,0.499093652,0.497528851
right,0.502008855,0.504202306,0.499178976,0.499402404
up,0.494581223,0.487820745,0.49677518,0.495928168
right,0.499589652,0.494476825,0.49765709,0.492669374
right,0.503939331,0.49027288,0.500649452,0.495954007
left,0.497372985,0.494497478,0.496643275,0.500018179
down,0.503378808,0.496960521,0.501333714,0.501980364
down,0.502270997,0.49719274,0.497662544,0.502099454
left,0.499529451,0.504292369,0.493330449,0.501950324
right,0.491092861,0.494981766,0.490401357,0.505972445
right,0.495855123,0.49504903,0.495537102,0.494918138
up,0.498134583,0.485604018,0.49829185,0.494619846
up,0.492556542,0.492865086,0.490043521,0.505550444
right,0.49305582,0.501632273,0.495496362,0.499113053
left,0.495625019,0.502648115,0.495050132,0.495827675
left,0.500249207,0.497636706,0.493498832,0.500769794
up,0.498556614,0.497465491,0.496712476,0.507822037
left,0.499273181,0.492952138,0.495782733,0.495908231
down,0.501540899,0.500037313,0.494709879,0.50509429
down,0.496230781,0.49888137,0.493786365,0.496132374
left,0.502987266,0.489074349,0.498399228,0.503413439
left,0.500147283,0.493562251,0.495210916,0.506350219
right,0.497297734,0.500316322,0.493613899,0.514001429
up,0.505829751,0.479950637,0.4955374,0.499699682
up,0.506166875,0.491620541,0.501915932,0.489410043
down,0.504638314,0.49434793,0.497188568,0.496186942
down,0.506056786,0.504856825,0.500164747,0.509607375
left,0.498747855,0.492649198,0.494693667,0.500114322
left,0.490204543,0.489773273,0.482089967,0.508620918
up,0.499143809,0.493988156,0.492994279,0.499806523
left,0.502449453,0.488791913,0.495855451,0.498351276
down,0.498002499,0.492802143,0.495666504,0.509154558
down,0.507901192,0.528693259,0.499749273,0.512847781
right,0.502244711,0.50575,0.49877578,0.507127345
left,0.503674924,0.484632671,0.504130602,0.497013599
down,0.505571425,0.500118613,0.500609815,0.517962873
right,0.501823366,0.497711092,0.501114607,0.516198575
left,0.495380759,0.486986458,0.49500525,0.498522758
down,0.500306845,0.483972281,0.495376229,0.50109297
up,0.50280267,0.494419217,0.50030607,0.501808703
down,0.501975417,0.483457118,0.500230193,0.501143456
up,0.502835035,0.478857905,0.495608926,0.498947322
down,0.501137674,0.480990142,0.496492296,0.499774337
