label,x_left,y_left,x_right,y_right
left,0.253115475,0.547117054,0.245765537,0.561442316
down,0.523890615,0.749757946,0.515347242,0.737373948
right,0.789992094,0.477255315,0.78878361,0.471300691
up,0.440059215,0.160982534,0.446533173,0.158158332
down,0.574207842,0.703649044,0.575735748,0.71854949
up,0.487090707,0.34566474,0.488121629,0.345770329
left,0.303835601,0.415670276,0.30849281,0.432320029
right,0.665266275,0.537026942,0.670575559,0.542656898
left,0.220187619,0.547031045,0.222882733,0.568745613
right,0.742218375,0.526118159,0.745534301,0.538922846
right,0.731848121,0.466324598,0.731985867,0.474286914
left,0.22810255,0.494352311,0.229466394,0.512942731
right,0.813253939,0.420595258,0.813349128,0.415830612
down,0.506721795,0.796605289,0.508499742,0.790882826
left,0.205041155,0.492678255,0.209353924,0.506905317
right,0.713262022,0.432106704,0.71672529,0.439079642
left,0.340622783,0.527187467,0.342679083,0.541775286
right,0.761860907,0.457703561,0.759697676,0.46245271
down,0.451047301,0.794734776,0.453692257,0.797139704
left,0.342007458,0.520309567,0.343346626,0.532720864
up,0.454097867,0.164086685,0.461682975,0.167862415
up,0.456865311,0.27322647,0.4633663,0.273364991
up,0.568157971,0.164680868,0.572372556,0.162833035
up,0.516058683,0.237292916,0.521132529,0.2415196
down,0.545640647,0.763090909,0.545368314,0.757472932
down,0.537332416,0.855614841,0.540646732,0.840495646
left,0.237583488,0.412825584,0.239507437,0.438438714
left,0.126294747,0.391254932,0.125442788,0.418941617
right,0.83523941,0.545955837,0.832995474,0.556226432
left,0.29467985,0.520534813,0.294244409,0.539407372
right,0.83672297,0.439167023,0.839464545,0.439096659
left,0.276109666,0.515865266,0.282688826,0.527231395
down,0.495137602,0.799735129,0.496243268,0.78248018
left,0.221070036,0.483297706,0.223855257,0.494248658
right,0.8281914,0.559132516,0.828796446,0.556147933
up,0.545770466,0.322770238,0.547052324,0.324780941
right,0.796835184,0.419960856,0.798216641,0.418585509
right,0.894332647,0.535365164,0.894734621,0.535275042
left,0.163149223,0.528496921,0.162097722,0.554591179
