 block, trial, offer_right, offer_left, exp_value_right, exp_value_left, key, key_ID, chosen_card, unchosen_card, rt, reward
0,85, 1.png, 2.png,0.65071166,0.40026013, pressed left button,4,2,1,0.5717629,0
0,86, 1.png, 2.png,0.63520623,0.40650534, pressed left button,4,2,1,0.4805219,1
0,87, 2.png, 1.png,0.38628293,0.60347061, pressed right button,5,2,1,0.5359163,0
0,88, 2.png, 1.png,0.37420182,0.63733096, pressed right button,5,2,1,0.4118007,0
0,89, 2.png, 1.png,0.35229553,0.6083781, pressed left button,4,1,2,0.4244304,1
0,90, 1.png, 2.png,0.5968193,0.35898359, pressed right button,5,1,2,0.5838418,1
0,91, 1.png, 2.png,0.57489693,0.32523531, pressed right button,5,1,2,0.6616713,0
0,92, 1.png, 2.png,0.55128889,0.3268759, pressed right button,5,1,2,0.4925118,1
0,93, 2.png, 1.png,0.35882333,0.52774345, pressed left button,4,1,2,0.5180572,0
0,94, 1.png, 2.png,0.53530998,0.3949442, pressed left button,4,2,1,0.7966138,0
0,95, 1.png, 2.png,0.56523975,0.39153298, pressed left button,4,2,1,0.4208689,0
0,96, 1.png, 2.png,0.50116191,0.39950853, pressed right button,5,1,2,0.4042426,1
0,97, 2.png, 1.png,0.39963173,0.48423724, pressed left button,4,1,2,0.6088648,1
0,98, 2.png, 1.png,0.38045394,0.46302955, pressed left button,4,1,2,0.3865987,0
0,99, 1.png, 2.png,0.45662196,0.36756741, pressed right button,5,1,2,0.6244376,0
0,100, 2.png, 1.png,0.33371617,0.49262346, pressed right button,5,2,1,0.6436023,0
