,label,x_left,y_left,x_right,y_right
0,5,0.49426556,0.4889318,0.50447917,0.49706507
1,5,0.5081358,0.51401424,0.5185844,0.51068175
2,5,0.48899472,0.49941802,0.49921602,0.51287925
3,4,0.48965245,0.5031552,0.5003625,0.49956647
4,5,0.4900251,0.5001483,0.49916816,0.5014369
5,4,0.49044827,0.51455224,0.49849504,0.51176393
6,5,0.49572507,0.50452024,0.50144064,0.51078933
7,4,0.4932059,0.5027751,0.50427127,0.4968336
8,5,0.48035318,0.5228394,0.49276853,0.5224468
9,4,0.48827794,0.5033163,0.5012672,0.5013176
10,4,0.49331558,0.51581925,0.5081107,0.51363
11,5,0.49266016,0.5100329,0.50362515,0.51045966
12,4,0.49133047,0.50245243,0.5046425,0.5090354
13,4,0.49289298,0.5013977,0.50106394,0.5080942
14,4,0.48991176,0.4927872,0.5003143,0.5046236
15,5,0.4930928,0.48495477,0.50332165,0.48669776
16,4,0.49521238,0.49053496,0.50484973,0.5025066
17,4,0.4912103,0.49637234,0.5017133,0.500311
18,5,0.48376504,0.50646085,0.49632198,0.5052415
19,4,0.49110758,0.5054785,0.5003834,0.51771873
20,5,0.4949208,0.4849523,0.50776136,0.49598324
21,4,0.5001719,0.5045345,0.51004434,0.5090825
22,4,0.4924214,0.5072705,0.4989231,0.51610667
23,4,0.48539388,0.50089,0.49424887,0.50506544
24,5,0.48774755,0.49468702,0.50096333,0.5103938
25,4,0.4954124,0.4773319,0.50800747,0.49567446
26,4,0.49450397,0.50258553,0.50478023,0.5047939
27,5,0.49298376,0.50763863,0.5054315,0.5255265
28,4,0.49506697,0.5006715,0.50065386,0.5103819
29,5,0.48535532,0.49000907,0.4978974,0.50783396
30,5,0.49345785,0.49064726,0.50329494,0.5036359
31,5,0.49256572,0.49398598,0.50376225,0.49705994
32,4,0.5005037,0.49654436,0.5126114,0.4958352
33,5,0.49320775,0.5034424,0.5049052,0.50716853
34,4,0.4971774,0.481865,0.511741,0.49707934
35,4,0.49755508,0.49237207,0.5045351,0.49555162
36,5,0.4973742,0.4975053,0.5032516,0.5026917
37,4,0.4927719,0.5013813,0.5001267,0.511148
38,4,0.48938394,0.488333,0.50204265,0.49616995
39,5,0.4903833,0.5100143,0.5005429,0.53369796
40,4,0.4809658,0.49996784,0.4901921,0.5079295
41,4,0.49391854,0.51155794,0.5035576,0.52301925
42,4,0.4924152,0.4925173,0.50757205,0.5069532
43,5,0.49652642,0.48590344,0.5046475,0.49435097
44,4,0.4947448,0.50052243,0.5086379,0.509926
45,5,0.49072272,0.4972548,0.5024477,0.51531744
46,4,0.4954746,0.5114053,0.5095664,0.52765965
47,5,0.5048752,0.5140567,0.5198874,0.52911806
48,4,0.4795213,0.5062089,0.5001357,0.52148825
49,4,0.4915678,0.5116923,0.4973589,0.5178351
50,5,0.50062966,0.48791012,0.50662875,0.49784878
51,5,0.4979313,0.48984268,0.5088313,0.50240886
52,4,0.49546236,0.49849278,0.5027246,0.51148814
53,4,0.495028,0.4993585,0.5037115,0.5130668
54,5,0.4947768,0.4985706,0.5042944,0.5018088
55,5,0.49053866,0.48620266,0.50030935,0.5000862
56,5,0.4955754,0.4970553,0.5097458,0.51005816
57,5,0.491033,0.47619686,0.50185347,0.49658275
58,5,0.4938533,0.4927288,0.50246173,0.50028276
59,4,0.49133623,0.5030073,0.5038433,0.5161818
60,5,0.49225208,0.4976557,0.50161564,0.50876004
61,5,0.49643865,0.48870736,0.50310814,0.5008998
62,4,0.4899521,0.48333344,0.503984,0.49186942
63,5,0.49323156,0.49022228,0.5057674,0.5025948
64,5,0.50245607,0.4838628,0.5126549,0.5004579
65,5,0.49141243,0.505215,0.49950376,0.5194123
66,4,0.4983401,0.50664926,0.5102301,0.51013666
67,5,0.49476814,0.5103182,0.5041037,0.5120073
68,5,0.48856655,0.49827465,0.498552,0.5141581
69,4,0.49526075,0.5256403,0.5019381,0.5339354
70,5,0.4954103,0.49294606,0.505937,0.50880945
71,4,0.49038377,0.49232507,0.5020574,0.5067645
72,4,0.49356467,0.511018,0.50401175,0.528134
73,4,0.49365908,0.503616,0.50344765,0.511712
74,4,0.4951561,0.49328345,0.50615215,0.51159364
75,5,0.49267054,0.4863355,0.49931225,0.50333047
76,4,0.48560116,0.48906848,0.5025001,0.5079398
77,5,0.48446628,0.50359905,0.49647662,0.51963216
78,4,0.4987499,0.50155574,0.50998706,0.49818465
79,5,0.49407557,0.50318277,0.50775003,0.51377183
80,5,0.49680138,0.4960345,0.5067017,0.51353407
81,5,0.49429378,0.4891044,0.5078197,0.5110545
82,4,0.49532843,0.49413034,0.50392556,0.50571895
83,5,0.49866685,0.4931616,0.50442153,0.50895846
84,4,0.49483714,0.48215097,0.5078145,0.500431
85,5,0.49164668,0.48295444,0.50389075,0.4918498
86,5,0.49279734,0.49777845,0.5043314,0.51026624
87,5,0.4869388,0.49140304,0.49796262,0.51301116
88,4,0.48337692,0.5004295,0.50025475,0.51028335
89,5,0.49306187,0.48923296,0.50383806,0.51211065
90,5,0.49650192,0.49741855,0.5093375,0.51252943
91,4,0.49294335,0.49742192,0.500978,0.5178733
92,4,0.48522276,0.49238357,0.50513417,0.5129255
93,5,0.48862818,0.48616135,0.5053477,0.499749
94,5,0.49844092,0.4921748,0.50263137,0.5150154
95,4,0.49530137,0.49587753,0.5037795,0.5148209
96,5,0.49404633,0.47769296,0.5070705,0.4948041
97,5,0.48956266,0.49609298,0.5013011,0.5126235
98,5,0.49151194,0.49171638,0.5048322,0.51505554
