,label,x_left,y_left,x_right,y_right
0,4,0.2965812,0.48445204,0.29426056,0.50377095
1,4,0.4576041,0.50290126,0.4569385,0.5160003
2,5,0.5086043,0.51386386,0.5043568,0.52345246
3,5,0.5103555,0.5190894,0.51299655,0.51878995
4,4,0.36249927,0.49721152,0.3572969,0.516301
5,5,0.52371895,0.5115565,0.51939285,0.51464134
6,5,0.28990558,0.50137854,0.2852008,0.5145223
7,4,0.49630618,0.5097299,0.4926568,0.5110713
8,5,0.5151337,0.52094114,0.50692147,0.51027477
9,4,0.40479046,0.5119721,0.40120426,0.5141641
10,4,0.5685536,0.51576954,0.5617504,0.5186445
11,4,0.5190521,0.5151199,0.515137,0.5153231
12,5,0.55422,0.51257384,0.548068,0.51638925
13,4,0.56979287,0.5053404,0.57189685,0.51775783
14,4,0.44260174,0.5116597,0.43858594,0.51016355
15,4,0.50257105,0.50894284,0.49738428,0.5080165
16,4,0.5063818,0.50685495,0.49995402,0.51244336
17,4,0.46801642,0.5066597,0.46312186,0.5082601
18,4,0.46796015,0.507669,0.4634064,0.5158538
19,5,0.5324679,0.5122192,0.53130233,0.5213523
20,5,0.54820573,0.5094265,0.54719955,0.5122182
21,5,0.42124802,0.50559324,0.41477555,0.5076988
22,5,0.50721914,0.5172836,0.5008163,0.5096923
23,5,0.5115756,0.50086355,0.5076883,0.5026654
24,4,0.46283466,0.5077759,0.46154043,0.5078072
25,5,0.5080267,0.50882334,0.50558436,0.5016415
26,5,0.507415,0.518088,0.502657,0.5128871
27,4,0.5059334,0.511166,0.5005898,0.51122415
28,5,0.51325905,0.51069474,0.5066717,0.5128209
29,5,0.50159675,0.5067456,0.4973619,0.5057765
30,5,0.5084674,0.4980917,0.50166076,0.50386477
31,4,0.49740544,0.50932485,0.49417567,0.5149215
32,4,0.50390565,0.5074679,0.502117,0.5254538
33,5,0.5044184,0.5004511,0.4995468,0.50882566
34,4,0.4338603,0.51541173,0.4268195,0.5192062
35,4,0.4956889,0.5119567,0.4915398,0.50296265
36,4,0.5025319,0.507424,0.496142,0.5131304
37,5,0.48692954,0.49815825,0.48679516,0.497347
38,5,0.50326777,0.5170119,0.4993666,0.5180571
39,5,0.5076221,0.50354964,0.5009261,0.5041315
40,4,0.53666496,0.51137155,0.5362864,0.51076436
41,5,0.5041874,0.52423686,0.49755517,0.5130051
42,5,0.5057324,0.52089036,0.4999927,0.50858426
43,4,0.50584745,0.5096064,0.49639943,0.5119937
44,5,0.5039175,0.51208764,0.4979726,0.5156379
45,5,0.50693285,0.50771976,0.50072515,0.5119189
46,5,0.512086,0.5039172,0.50812465,0.50060225
47,4,0.523272,0.4771959,0.517819,0.48160696
48,4,0.49993855,0.49257717,0.4949371,0.49573284
49,5,0.59322834,0.5053819,0.5946401,0.502651
50,4,0.49870825,0.49975252,0.49613586,0.5003179
51,5,0.5205388,0.51287246,0.5155646,0.51291037
52,4,0.5575914,0.50726676,0.5544935,0.5116917
53,5,0.50318694,0.49107993,0.4961716,0.49492866
54,5,0.47841957,0.49660498,0.47093767,0.49340147
55,4,0.5068252,0.5027877,0.49790084,0.5004016
56,4,0.4785451,0.5097178,0.4748167,0.5154662
57,5,0.5073788,0.50585765,0.5046396,0.51086706
58,4,0.5047064,0.5047947,0.5003755,0.50673324
59,4,0.5058674,0.50268334,0.49905667,0.5064037
60,5,0.5043389,0.5010698,0.49774387,0.50575954
61,4,0.5054862,0.5042222,0.49983513,0.4993746
62,4,0.5078703,0.50457036,0.49941063,0.5002232
63,5,0.5052092,0.4996333,0.49810627,0.4952821
64,5,0.50765866,0.49620658,0.50182235,0.5008285
65,5,0.5032496,0.5008414,0.49669138,0.5026723
66,4,0.5026527,0.49888772,0.4988078,0.4938012
67,4,0.49676573,0.509738,0.49325994,0.51198816
68,4,0.5011296,0.50464237,0.4943267,0.50199455
69,5,0.507928,0.5074836,0.5010469,0.5042702
70,4,0.5044875,0.51558036,0.5017267,0.51747507
71,4,0.5019355,0.503165,0.49619564,0.50030977
72,4,0.49180833,0.5050375,0.48629203,0.5155121
73,5,0.5028618,0.4946345,0.50092274,0.5010138
74,5,0.52784425,0.50914574,0.52303696,0.5101139
75,5,0.44166547,0.5012855,0.4400086,0.5081433
76,5,0.5517134,0.5007643,0.5510508,0.49586734
77,5,0.5572797,0.48881155,0.5556544,0.48783296
78,4,0.49003792,0.5023839,0.48608693,0.50739294
79,5,0.5070213,0.50078064,0.5013606,0.51043427
80,5,0.50566435,0.50748307,0.49783495,0.49799502
81,4,0.5047764,0.50736403,0.49952903,0.50754076
82,5,0.5039523,0.5115346,0.49920377,0.5143548
83,4,0.51693577,0.49052796,0.5110018,0.48943794
84,4,0.5429631,0.48318502,0.54160804,0.4749822
85,4,0.5056004,0.4971474,0.5010183,0.49719647
86,5,0.50534666,0.4993347,0.49670893,0.50125384
87,5,0.5074493,0.50562614,0.5050262,0.5027781
88,4,0.5064132,0.50750476,0.50221837,0.5031686
89,5,0.50421256,0.50730765,0.4975109,0.5118338
90,5,0.5470581,0.505156,0.54250443,0.49744135
91,5,0.5047124,0.49713504,0.5007234,0.49835813
92,4,0.5003699,0.5119447,0.49757025,0.5121419
93,4,0.50274694,0.50328475,0.49818182,0.5033628
94,4,0.50798714,0.5001077,0.49812767,0.5009957
95,5,0.50438744,0.50348836,0.49864033,0.50088936
96,4,0.50367194,0.50620383,0.49757695,0.5103051
97,4,0.502215,0.49229836,0.49559116,0.49801412
98,5,0.49793977,0.49587208,0.49500173,0.49736953
99,5,0.56076324,0.49445438,0.55975854,0.49035677
