,label,x_left,y_left,x_right,y_right
0,5,0.6741705,0.45810598,0.66967046,0.46651426
1,4,0.32981616,0.44558966,0.33349907,0.48314756
2,5,0.65683544,0.48928902,0.65587634,0.51017183
3,4,0.38995475,0.48592812,0.38181198,0.51462483
4,5,0.38702175,0.46839264,0.38748136,0.50350857
5,4,0.5228218,0.4842558,0.52065974,0.50118953
6,4,0.40194336,0.46602425,0.4000346,0.502811
7,4,0.4234749,0.46886882,0.419726,0.5100196
8,4,0.37671447,0.47430858,0.37949103,0.49096763
9,5,0.59537506,0.483157,0.60068846,0.50036913
10,5,0.65150213,0.48485807,0.6517873,0.4924235
11,4,0.35772625,0.47477984,0.35421097,0.48770165
12,5,0.5661309,0.48515528,0.562086,0.48814338
13,4,0.3849908,0.46733907,0.37432212,0.47284687
14,5,0.5881242,0.479572,0.58273387,0.4976693
15,4,0.30871812,0.46236473,0.30559266,0.4876221
16,4,0.39630705,0.46915248,0.3963408,0.5051795
17,4,0.37553012,0.4605508,0.3694918,0.48195276
18,5,0.6615843,0.47509834,0.6549354,0.4992715
19,4,0.31460717,0.44136864,0.30867207,0.46725762
20,5,0.5431088,0.48902962,0.54187065,0.5085016
21,5,0.75839615,0.4290421,0.7565986,0.4402724
22,4,0.32733947,0.43206728,0.32733026,0.47100413
23,5,0.7097247,0.46917284,0.709168,0.46226737
24,5,0.73634,0.4687605,0.7314645,0.46902317
25,4,0.35141495,0.46586576,0.35490063,0.4785013
26,5,0.6253482,0.4556105,0.6183269,0.45073974
27,5,0.6049316,0.4751002,0.6022966,0.4772473
28,5,0.6367297,0.47136256,0.63515896,0.46993965
29,4,0.30232152,0.4331788,0.30443564,0.4493461
30,5,0.5936604,0.48452774,0.5742097,0.50239116
31,5,0.5673642,0.4860977,0.5677178,0.48594266
32,5,0.67766786,0.4644332,0.6705267,0.45686427
33,4,0.36766165,0.4697406,0.37105766,0.48194763
34,5,0.6679392,0.47176507,0.6657669,0.46503487
35,4,0.35357195,0.46093708,0.35707706,0.47478592
36,4,0.45985729,0.48197594,0.46164897,0.51124793
37,4,0.49985808,0.48152333,0.5006418,0.50661373
38,5,0.6707895,0.46892843,0.6752385,0.4765278
39,5,0.61427337,0.47110665,0.62597245,0.4700853
40,4,0.309734,0.421542,0.30271533,0.44737366
41,5,0.49623546,0.50569266,0.5003545,0.5326505
42,5,0.5644446,0.47243702,0.5716268,0.45823258
43,4,0.41069913,0.44385067,0.41764215,0.4638559
44,5,0.7294645,0.4993768,0.7218939,0.48711982
45,5,0.5757853,0.48486614,0.5726774,0.47682872
46,4,0.34185642,0.45456722,0.329242,0.47203353
47,5,0.7084154,0.4825949,0.6951383,0.47595608
48,5,0.6227602,0.48741114,0.6325155,0.48193222
49,5,0.49448612,0.5022761,0.49683014,0.50723714
50,4,0.49500147,0.5170458,0.49859783,0.52761513
51,5,0.5956375,0.49331924,0.6093944,0.48987177
52,4,0.48158202,0.49110425,0.48825926,0.49622485
53,4,0.48465762,0.4980185,0.49279383,0.5098598
54,5,0.48285484,0.5127519,0.48973867,0.52060485
55,4,0.295248,0.45142147,0.30267653,0.47542432
56,4,0.3814314,0.4563334,0.3732737,0.4714009
57,4,0.44474536,0.47130948,0.44452813,0.4849203
58,5,0.71010077,0.44268835,0.70791435,0.44349775
59,4,0.29966155,0.45489222,0.29719135,0.48261487
60,5,0.65253836,0.47014287,0.64902735,0.46009102
61,5,0.6316815,0.48070443,0.6274281,0.4682764
62,4,0.50048095,0.50260663,0.49953178,0.5000866
63,4,0.360535,0.45987424,0.3561357,0.46262655
64,4,0.5017121,0.49076864,0.49985778,0.48484856
65,5,0.49666527,0.48265108,0.49589697,0.504351
66,4,0.42772377,0.47684294,0.42087385,0.500684
67,4,0.40773037,0.46780434,0.41257536,0.48058346
68,4,0.4214549,0.4436562,0.4212424,0.47197992
69,5,0.5867934,0.47497502,0.5839183,0.48462015
70,5,0.6671107,0.48634115,0.65329456,0.4881014
71,5,0.5903258,0.48207012,0.58890903,0.4823529
72,4,0.49558738,0.46116984,0.49422586,0.47791302
73,4,0.4040071,0.47330728,0.3991898,0.46997935
74,4,0.5434221,0.48339802,0.5482247,0.48760754
75,4,0.5015615,0.4781742,0.49703857,0.5150051
76,4,0.5232708,0.44746104,0.5125973,0.45107475
77,4,0.33415696,0.4494767,0.3305884,0.47060043
78,5,0.704579,0.48296288,0.7039152,0.4766499
79,4,0.43535048,0.47149417,0.4372976,0.47391516
80,5,0.5751791,0.45039874,0.5633021,0.45780864
81,5,0.6214788,0.4776899,0.62656724,0.4662999
82,5,0.63624907,0.46570456,0.6348832,0.46987262
83,4,0.37747353,0.46740898,0.383831,0.49602535
84,4,0.4146069,0.46688694,0.42571864,0.4934587
85,5,0.6323995,0.48383355,0.6403098,0.4866658
86,4,0.5498445,0.4882766,0.5498841,0.47912726
87,5,0.68007916,0.47087854,0.6781474,0.46545896
88,5,0.5986516,0.4746765,0.6072953,0.4698387
89,4,0.4971571,0.49460015,0.49311548,0.4944792
90,4,0.5015708,0.5046121,0.5019259,0.50596625
91,4,0.42221755,0.4670881,0.42076057,0.47813362
92,5,0.6460293,0.48223355,0.64025205,0.47537124
93,4,0.49864006,0.50326544,0.49561563,0.5001737
94,4,0.49426562,0.48450217,0.49567115,0.5064481
95,4,0.50148493,0.49139673,0.49925148,0.4966428
96,4,0.5016244,0.4946574,0.50099206,0.519587
97,4,0.53609854,0.48124498,0.54123455,0.49094748
98,4,0.49355608,0.5069701,0.48989385,0.506621
99,5,0.46495402,0.45353955,0.48213208,0.45422703
