,label,x_left,y_left,x_right,y_right
0,5,0.49791884,0.50168294,0.494021,0.5117795
1,4,0.4939332,0.52288514,0.49681866,0.514477
2,5,0.5032408,0.507339,0.50371695,0.51000476
3,4,0.48704243,0.50063455,0.49098307,0.50269806
4,4,0.49554265,0.5025497,0.49587798,0.50766027
5,4,0.44006526,0.50980735,0.44156754,0.5167374
6,4,0.4965276,0.4995948,0.4932343,0.50772464
7,4,0.6217191,0.50531715,0.63033193,0.5203725
8,5,0.41985276,0.51369673,0.4264319,0.51606053
9,4,0.49519724,0.5024217,0.49520797,0.50922954
10,4,0.3587738,0.5046469,0.36534783,0.5183368
11,4,0.45816976,0.500685,0.45942673,0.50609785
12,5,0.31662226,0.5229696,0.3201867,0.5356318
13,4,0.49784234,0.50054765,0.49671823,0.50354135
14,4,0.49770904,0.4992699,0.49681836,0.50791675
15,5,0.5747051,0.49948135,0.57969314,0.50381666
16,4,0.49010032,0.5026852,0.49035278,0.5113193
17,4,0.49386394,0.50325197,0.49785626,0.5060513
18,4,0.50388545,0.50301194,0.5051639,0.513613
19,5,0.4974209,0.5001705,0.49268082,0.50760883
20,5,0.42714566,0.50140435,0.4302498,0.51588416
21,4,0.41432238,0.5149287,0.41588968,0.52924424
22,4,0.49463698,0.4991014,0.4917503,0.50455135
23,4,0.48576516,0.506837,0.4838634,0.5077393
24,4,0.49501935,0.50509393,0.49354216,0.5055385
25,5,0.6363672,0.512799,0.64178556,0.51147914
26,4,0.5780117,0.49834818,0.5874281,0.5021051
27,5,0.5052337,0.5098477,0.505268,0.5145979
28,5,0.36096263,0.53053296,0.36417776,0.5466013
29,4,0.2733396,0.5303298,0.27594706,0.5388895
30,5,0.51904577,0.5095771,0.5168632,0.5056012
31,4,0.24182524,0.50976753,0.24793576,0.52088046
32,5,0.37185642,0.51481485,0.371662,0.5217188
33,5,0.32311797,0.5020398,0.32500696,0.5164254
34,4,0.40848783,0.5213189,0.40979752,0.5344632
35,4,0.6472069,0.5161811,0.6506609,0.5268366
36,5,0.49636182,0.5019927,0.49291915,0.50717485
37,5,0.43361163,0.5083854,0.43392006,0.51425135
38,5,0.36049098,0.50882804,0.3619427,0.5220653
39,4,0.48814064,0.5009903,0.4872857,0.5039395
40,4,0.4436215,0.5250562,0.44592193,0.5263169
41,4,0.3150248,0.51413596,0.31757495,0.5244083
42,5,0.35171974,0.51152384,0.3490345,0.51686454
43,4,0.41165474,0.5170444,0.4162833,0.51558864
44,4,0.2830116,0.52107495,0.28176063,0.5356932
45,5,0.6370255,0.5359928,0.6399265,0.5394545
46,5,0.2998354,0.537616,0.30810928,0.55419874
47,4,0.49413174,0.5092939,0.4943927,0.5197227
48,4,0.49710542,0.51584476,0.49587414,0.5176794
49,5,0.49817884,0.49991733,0.4972034,0.5001988
50,4,0.3341115,0.5169934,0.33450097,0.51576513
51,5,0.5532098,0.5033454,0.5559244,0.50963616
52,5,0.28894266,0.5070705,0.292295,0.52053475
53,4,0.4771756,0.5051957,0.4789514,0.5098095
54,5,0.60798854,0.51167333,0.61444503,0.5173483
55,5,0.48331815,0.51671314,0.48207787,0.5219318
56,5,0.49520537,0.51647747,0.48624358,0.51164365
57,4,0.3833583,0.5130734,0.3932205,0.5205538
58,4,0.49503002,0.50788856,0.49846578,0.50577456
59,4,0.49628067,0.50810635,0.49375165,0.50244683
60,4,0.49130422,0.5034737,0.49287745,0.5054673
61,5,0.5169209,0.50150824,0.5185269,0.5048888
62,4,0.49599388,0.49908066,0.5006643,0.5042493
63,5,0.5124844,0.50833935,0.5158366,0.5180471
64,5,0.6487229,0.51893175,0.65859,0.5154749
65,5,0.34247166,0.4840008,0.3534842,0.4992002
66,4,0.4945005,0.49934232,0.4967148,0.5100146
67,4,0.53346425,0.50457716,0.53966296,0.50759715
68,5,0.49372017,0.5006827,0.49249083,0.5096819
69,5,0.49519014,0.49977744,0.4970411,0.50580955
70,5,0.5351983,0.51308656,0.5392364,0.51211125
71,5,0.49830037,0.50624275,0.49643493,0.506921
72,4,0.48849744,0.5108558,0.4866325,0.5122782
73,5,0.5720049,0.507204,0.5750506,0.50904083
74,4,0.49561056,0.49818975,0.49470037,0.50406015
75,5,0.601931,0.503303,0.6066407,0.5038528
76,4,0.35762775,0.51581776,0.3608979,0.5274497
77,5,0.50024,0.495328,0.49487177,0.49784577
78,4,0.4945731,0.4988234,0.49554765,0.5081338
79,4,0.47735506,0.49307323,0.47475865,0.5024624
80,4,0.27820623,0.4894013,0.27888632,0.5085129
81,5,0.49760062,0.49967426,0.49276912,0.49839413
82,4,0.4859403,0.50950956,0.48186693,0.50075126
83,4,0.49925876,0.5044849,0.49991906,0.50141793
84,5,0.45742238,0.51039785,0.45782465,0.5040899
85,4,0.451864,0.50082254,0.45361093,0.49495444
86,5,0.5495084,0.500616,0.5509155,0.50153524
87,4,0.4964257,0.5051891,0.49476725,0.5009812
88,4,0.52829325,0.5107021,0.5289613,0.50224465
89,4,0.65115243,0.5134963,0.6575044,0.5130558
90,5,0.32648292,0.51721764,0.32690728,0.5301482
91,5,0.51262724,0.4964829,0.5144911,0.4988671
92,4,0.49682093,0.49727207,0.49791285,0.5055833
93,4,0.48921415,0.5023527,0.4894478,0.50873584
94,4,0.47998357,0.52430654,0.47556764,0.5304344
95,4,0.49171448,0.50488776,0.49298725,0.50967294
96,5,0.5035534,0.498639,0.50080854,0.5064722
97,5,0.4933963,0.49890602,0.49237695,0.506004
98,5,0.4965752,0.5005055,0.50175524,0.5037472
99,4,0.5048875,0.4923447,0.50301224,0.49937332
