subject, block, trial, offer_right, offer_left, exp_value_right, exp_value_left, key, key_ID, chosen_card, unchosen_card, rt, reward
0,0,1, 1.png, 2.png,0.69358862,0.38187668, pressed right button,5,1,2,1.4531836,1
0,0,2, 1.png, 2.png,0.69056294,0.3963755, pressed right button,5,1,2,0.5146433,1
0,0,3, 1.png, 2.png,0.71319523,0.42184579, pressed right button,5,1,2,0.3634346,0
0,0,4, 2.png, 1.png,0.41592763,0.68607327, pressed left button,4,1,2,0.3275651,0
0,0,5, 1.png, 2.png,0.66128443,0.40928682, pressed right button,5,1,2,0.4008351,0
0,0,6, 1.png, 2.png,0.69511306,0.42147605, pressed left button,4,2,1,0.3435882,1
0,0,7, 1.png, 2.png,0.72510969,0.41316813, pressed right button,5,1,2,0.4488004,1
0,0,8, 1.png, 2.png,0.67753924,0.4452702, pressed left button,4,2,1,0.7966214,1
0,0,9, 2.png, 1.png,0.43634603,0.66872967, pressed right button,5,2,1,0.3376814,0
0,0,10, 2.png, 1.png,0.48269385,0.64560663, pressed left button,4,1,2,0.7241812,1
0,0,11, 2.png, 1.png,0.44708582,0.62928264, pressed left button,4,1,2,0.3930734,0
0,0,12, 1.png, 2.png,0.63827553,0.41062622, pressed right button,5,1,2,0.4389805,1
0,0,13, 2.png, 1.png,0.49079817,0.63700392, pressed left button,4,1,2,0.4778369,0
0,0,14, 2.png, 1.png,0.50851058,0.62446919, pressed left button,4,1,2,0.3530775,0
0,0,15, 2.png, 1.png,0.56138499,0.60904519, pressed left button,4,1,2,0.3612089,1
0,0,16, 1.png, 2.png,0.57690435,0.56250636, pressed right button,5,1,2,0.4688337,1
0,0,17, 1.png, 2.png,0.59423321,0.5480705, pressed left button,4,2,1,0.4162445,1
0,0,18, 1.png, 2.png,0.58575815,0.55178611, pressed left button,4,2,1,0.3256627,0
0,0,19, 1.png, 2.png,0.59886733,0.54322118, pressed right button,5,1,2,0.4328024,1
0,0,20, 1.png, 2.png,0.55970336,0.57398473, pressed left button,4,2,1,0.2648389,1
0,0,21, 1.png, 2.png,0.52668733,0.53910594, pressed right button,5,1,2,0.3010058,0
0,0,22, 1.png, 2.png,0.48536218,0.53945614, pressed left button,4,2,1,0.3921999,1
0,0,23, 2.png, 1.png,0.55485135,0.50111334, pressed left button,4,1,2,0.4793534,0
0,0,24, 1.png, 2.png,0.49594437,0.51798414, pressed left button,4,2,1,0.611648,1
0,0,25, 2.png, 1.png,0.5357713,0.52664975, pressed right button,5,2,1,0.3488081,0
0,0,26, 1.png, 2.png,0.5428878,0.5369896, pressed left button,4,2,1,0.3207404,0
0,0,27, 2.png, 1.png,0.5293018,0.4979855, pressed left button,4,1,2,0.5046924,1
0,0,28, 1.png, 2.png,0.45972423,0.50692946, pressed right button,5,1,2,0.3675435,0
0,0,29, 1.png, 2.png,0.49828841,0.50359935, pressed left button,4,2,1,0.3835915,1
0,0,30, 1.png, 2.png,0.47420307,0.54197855, pressed right button,5,1,2,0.3517302,1
0,0,31, 1.png, 2.png,0.47101485,0.57129608, pressed right button,5,1,2,0.4208862,1
0,0,32, 2.png, 1.png,0.59351306,0.47660617, pressed right button,5,2,1,0.3813439,1
0,0,33, 1.png, 2.png,0.50878503,0.59973273, pressed left button,4,2,1,0.2769235,1
0,0,34, 2.png, 1.png,0.62561819,0.52913878, pressed right button,5,2,1,0.3127685,1
0,0,35, 2.png, 1.png,0.62325941,0.53191122, pressed left button,4,1,2,0.3417449,0
0,0,36, 2.png, 1.png,0.61088179,0.53126461, pressed left button,4,1,2,0.4339643,1
0,0,37, 1.png, 2.png,0.52493828,0.6122672, pressed right button,5,1,2,0.553099,1
0,0,38, 1.png, 2.png,0.53170162,0.59882923, pressed left button,4,2,1,0.5159688,0
0,0,39, 1.png, 2.png,0.51037051,0.59276663, pressed left button,4,2,1,0.3122738,1
0,0,40, 1.png, 2.png,0.48966776,0.62016496, pressed right button,5,1,2,0.310536,0
0,0,41, 2.png, 1.png,0.60799379,0.46539734, pressed left button,4,1,2,0.2247465,0
0,0,42, 2.png, 1.png,0.60124495,0.43462077, pressed left button,4,1,2,0.3795667,1
0,0,43, 2.png, 1.png,0.6375376,0.4459349, pressed left button,4,1,2,0.4612975,0
0,0,44, 2.png, 1.png,0.60278116,0.39552202, pressed right button,5,2,1,0.3961751,1
0,0,45, 1.png, 2.png,0.39521325,0.62716774, pressed left button,4,2,1,0.3017976,0
0,0,46, 1.png, 2.png,0.39648387,0.59950089, pressed right button,5,1,2,0.6168409,1
0,0,47, 2.png, 1.png,0.59770842,0.42574789, pressed left button,4,1,2,0.6828244,1
0,0,48, 2.png, 1.png,0.60320901,0.41140559, pressed right button,5,2,1,0.4767142,0
0,0,49, 2.png, 1.png,0.6253576,0.43921914, pressed left button,4,1,2,0.3882265,0
0,0,50, 2.png, 1.png,0.618828,0.43937153, pressed left button,4,1,2,0.3407228,0
0,0,51, 2.png, 1.png,0.58544921,0.43077782, pressed right button,5,2,1,0.4398331,1
0,0,52, 2.png, 1.png,0.57616521,0.43196726, pressed right button,5,2,1,0.4684587,0
0,0,53, 2.png, 1.png,0.62020837,0.43917048, pressed left button,4,1,2,0.2875733,0
