,label,x_left,y_left,x_right,y_right
0,5,0.49900252,0.47717544,0.4983191,0.50338006
1,4,0.4978269,0.48386872,0.49953857,0.5094582
2,5,0.49649644,0.48022342,0.49448332,0.52536786
3,4,0.5107728,0.516747,0.49634296,0.52047515
4,5,0.500057,0.49814147,0.49500945,0.5360013
5,4,0.5013177,0.49938852,0.49479797,0.5083106
6,4,0.49754333,0.48893136,0.49584723,0.5328605
7,4,0.5012059,0.4892815,0.49503255,0.5248155
8,4,0.50055796,0.5032259,0.49663442,0.5018873
9,5,0.503664,0.48164788,0.4973387,0.5116395
10,5,0.5015107,0.50621927,0.50107104,0.5075692
11,4,0.5046598,0.49615014,0.49760717,0.49666125
12,5,0.49684262,0.47894275,0.49242324,0.49462265
13,4,0.5030619,0.5057261,0.49737528,0.4992167
14,5,0.49636754,0.4697309,0.49390486,0.50145626
15,4,0.5018395,0.49789062,0.4959411,0.49844477
16,4,0.49850705,0.48341078,0.5000825,0.5192555
17,4,0.6416181,0.47996175,0.6353017,0.47901705
18,5,0.49839532,0.47196653,0.4917024,0.52095836
19,4,0.4955017,0.4871515,0.48846516,0.51569617
20,5,0.5008819,0.49801114,0.49716517,0.5242437
21,5,0.48125413,0.4858382,0.4761342,0.48465964
22,4,0.5032158,0.47218764,0.49855524,0.49180016
23,5,0.49912095,0.4725237,0.49914506,0.4888308
24,5,0.50095636,0.4903794,0.49640647,0.5000609
25,4,0.5038243,0.48670745,0.50077593,0.49265513
26,5,0.49794534,0.48991424,0.4907882,0.49309787
27,5,0.5003327,0.4828755,0.4965701,0.48874724
28,5,0.49734643,0.48913217,0.49523157,0.5000856
29,4,0.49410963,0.48752728,0.49606028,0.50537133
30,5,0.4919013,0.4749341,0.4875863,0.49799678
31,5,0.49770856,0.49140757,0.49485147,0.49419823
32,5,0.50005335,0.49633694,0.49538884,0.49411875
33,4,0.5022199,0.48610497,0.49684796,0.4941813
34,5,0.5455827,0.4824783,0.5400316,0.49142227
35,4,0.49700865,0.49002254,0.49256217,0.49331647
36,4,0.49835283,0.49198106,0.4947989,0.52082396
37,4,0.5018393,0.48087773,0.49898303,0.5018158
38,5,0.49825022,0.47162032,0.49895367,0.501254
39,5,0.4812912,0.5127485,0.4826055,0.5182109
40,4,0.50117254,0.49530596,0.50389093,0.5047904
41,5,0.49646866,0.50336444,0.50036585,0.5305778
42,5,0.43016523,0.48557365,0.42535967,0.48347947
43,4,0.4971829,0.4891363,0.4955217,0.48892725
44,5,0.49917677,0.4873369,0.49211884,0.50746316
45,5,0.50317705,0.49681956,0.49530274,0.49366385
46,4,0.50372744,0.4902157,0.49569803,0.50231075
47,5,0.58200157,0.50644946,0.5759771,0.4961604
48,5,0.5018142,0.48641604,0.49610373,0.49715137
49,5,0.49782598,0.49358404,0.4961299,0.50644547
50,4,0.49736893,0.52122724,0.49996164,0.5233096
51,5,0.4903674,0.514974,0.4983338,0.52009755
52,4,0.47960886,0.48109162,0.48902035,0.48742962
53,4,0.48097718,0.48956025,0.49126986,0.49937737
54,5,0.48367038,0.50749224,0.49028355,0.5129322
55,4,0.4750587,0.5130977,0.48868987,0.51587516
56,4,0.5013803,0.4780157,0.4974348,0.48882994
57,4,0.50748605,0.49494046,0.5069286,0.506331
58,5,0.5732261,0.4810056,0.5794873,0.5002165
59,4,0.50006694,0.49361426,0.49341974,0.501123
60,5,0.49752435,0.47952726,0.49553093,0.50273144
61,5,0.5005171,0.5019601,0.4941183,0.49868378
62,4,0.5019607,0.5017091,0.49964237,0.4962746
63,4,0.50659734,0.49884915,0.5012266,0.49253616
64,4,0.5052068,0.49143374,0.50133395,0.48203525
65,5,0.49703515,0.47604337,0.4943093,0.50283694
66,4,0.49566847,0.4892894,0.49409658,0.51074886
67,4,0.5035991,0.49526277,0.49908507,0.48909092
68,4,0.49903217,0.4846899,0.4987957,0.4977267
69,5,0.499723,0.47643685,0.49578252,0.48774502
70,5,0.50642437,0.48423028,0.50488555,0.5081639
71,5,0.5034293,0.48780307,0.5003771,0.4941244
72,4,0.502679,0.45527142,0.49519458,0.48147798
73,4,0.4986717,0.49211237,0.48973864,0.48370203
74,4,0.52621365,0.4971972,0.5255294,0.5080613
75,4,0.5038118,0.47547743,0.4967832,0.5086833
76,4,0.49592653,0.48163646,0.49407542,0.5108511
77,4,0.49861178,0.4863082,0.49619025,0.5122676
78,5,0.4997519,0.47939858,0.49724835,0.50485194
79,4,0.49897918,0.48894152,0.49501145,0.48749694
80,5,0.50043815,0.47520524,0.49632132,0.49271637
81,5,0.5006272,0.4683361,0.49695915,0.49284387
82,5,0.4995347,0.4817127,0.4945495,0.51069844
83,4,0.50066406,0.4953375,0.49893588,0.5033384
84,4,0.49996763,0.48946673,0.4963027,0.52045596
85,5,0.49625206,0.48858294,0.49829748,0.5108547
86,4,0.49822104,0.4938265,0.49731827,0.49264163
87,5,0.5057843,0.5008769,0.49857768,0.5037133
88,5,0.49635795,0.4844089,0.49529424,0.48376918
89,4,0.49897268,0.49603817,0.4922832,0.49779934
90,4,0.4997142,0.49838778,0.49612796,0.49155286
91,4,0.50190586,0.4968977,0.49726635,0.49247783
92,5,0.49311808,0.5003002,0.4878999,0.49080962
93,4,0.4985591,0.49015775,0.5012747,0.48784587
94,4,0.5022104,0.46467447,0.50103194,0.489692
95,4,0.5008966,0.48924926,0.49802253,0.48947656
96,4,0.50039136,0.49296898,0.502588,0.51551485
97,4,0.49535856,0.47354025,0.49999627,0.492478
98,4,0.49481443,0.5035178,0.4923764,0.49989077
99,5,0.50058705,0.49044418,0.49675682,0.49093208
