,label,x_left,y_left,x_right,y_right
0,5,0.4944691,0.49271023,0.50131136,0.50233763
1,5,0.5004252,0.51727504,0.5119132,0.5098332
2,5,0.4899595,0.5032216,0.49660122,0.5172053
3,4,0.48988697,0.5015931,0.50025386,0.4985026
4,5,0.49153072,0.50202817,0.49783397,0.5006051
5,4,0.49156946,0.5142863,0.49882838,0.51200986
6,5,0.4954795,0.5011887,0.5044072,0.5045829
7,4,0.4927323,0.50297403,0.50624585,0.4987627
8,5,0.49031377,0.5104851,0.50306195,0.508222
9,4,0.4945129,0.49372944,0.50759745,0.49358565
10,4,0.49312472,0.5011532,0.5072521,0.49528262
11,5,0.49224535,0.5105943,0.50108546,0.51497155
12,4,0.49430788,0.513404,0.50450855,0.5204397
13,4,0.4939679,0.5044582,0.49997926,0.50857985
14,4,0.4878115,0.4907482,0.5009755,0.5043409
15,5,0.4933984,0.48430476,0.5023695,0.48781854
16,4,0.4943469,0.48583794,0.5047994,0.5034299
17,4,0.48865572,0.49028906,0.5008081,0.49861133
18,5,0.49026117,0.4892074,0.5052914,0.48790118
19,4,0.4930019,0.48795408,0.50174844,0.50150704
20,5,0.48872352,0.50192404,0.495733,0.5046942
21,4,0.504199,0.46878514,0.5149917,0.46888793
22,4,0.4925244,0.5051737,0.49882993,0.5153986
23,4,0.48574707,0.5000441,0.49350423,0.5045712
24,5,0.48754326,0.4955564,0.49841562,0.51350594
25,4,0.4945717,0.47599977,0.5069534,0.49122906
26,4,0.49380806,0.49806884,0.50591326,0.50490034
27,5,0.4926654,0.5089116,0.5028288,0.5262716
28,4,0.4940285,0.49907458,0.50054646,0.5086384
29,5,0.48797753,0.4923853,0.5006665,0.5074223
30,5,0.4928788,0.48649052,0.5047634,0.50168604
31,5,0.49213868,0.49225423,0.5031552,0.4952346
32,4,0.5009353,0.49478212,0.5129378,0.49356532
33,5,0.49425775,0.50398743,0.5039312,0.50529313
34,4,0.49948475,0.48661155,0.5071687,0.49380785
35,4,0.5001608,0.46519983,0.5070843,0.46767414
36,5,0.49586156,0.4852906,0.5031085,0.4931425
37,4,0.4925844,0.4972024,0.49893463,0.51046634
38,4,0.48957294,0.48635185,0.50128615,0.49396536
39,5,0.49215195,0.5081921,0.50026476,0.53171366
40,4,0.48791218,0.51365554,0.49881566,0.5189996
41,4,0.4935364,0.510916,0.50327337,0.52181953
42,4,0.4935058,0.4984328,0.50693905,0.5092959
43,5,0.49599802,0.48656845,0.500807,0.4920061
44,4,0.49459553,0.5005326,0.50775886,0.51001185
45,5,0.49038965,0.49648175,0.5014185,0.5126076
46,4,0.49611282,0.5128693,0.5077373,0.5301781
47,5,0.50454485,0.51415795,0.5182767,0.5294517
48,4,0.476482,0.50769246,0.49746493,0.5265579
49,4,0.5052651,0.5683501,0.4876364,0.5385443
50,5,0.49746037,0.48066267,0.5072412,0.49551022
51,5,0.49710843,0.48663372,0.5083288,0.50041646
52,4,0.49586383,0.5016393,0.5015883,0.514987
53,4,0.49559414,0.4989135,0.5042906,0.5121925
54,5,0.49569342,0.49367017,0.5044747,0.49804646
55,5,0.48831448,0.4851149,0.49959677,0.50013524
56,5,0.49466354,0.5002046,0.50901765,0.51490253
57,5,0.48946458,0.4733963,0.50052375,0.49573967
58,5,0.49430615,0.49400723,0.5023643,0.50448215
59,4,0.4971712,0.5048314,0.50837374,0.51488703
60,5,0.49543023,0.4885509,0.504162,0.49365318
61,5,0.49444184,0.48556137,0.5025443,0.49875632
62,4,0.48628235,0.4876696,0.5009985,0.4927853
63,5,0.49294493,0.48822638,0.50551444,0.50278455
64,5,0.49684227,0.48601538,0.50625014,0.4988879
65,5,0.4951755,0.50045854,0.5041175,0.51553965
66,4,0.48986402,0.51404613,0.5004573,0.51763195
67,5,0.49632317,0.5104228,0.50313723,0.51058066
68,5,0.48622116,0.4918962,0.49837774,0.5131786
69,4,0.49457327,0.5221216,0.50398463,0.52902305
70,5,0.49355656,0.48727208,0.50640386,0.50656664
71,4,0.49400514,0.49189338,0.5026771,0.5072441
72,4,0.49597746,0.5094725,0.5028109,0.5276354
73,4,0.49380338,0.5038443,0.5018445,0.50722045
74,4,0.49564114,0.49445882,0.5029795,0.51515585
75,5,0.49193203,0.48429552,0.50032943,0.50102437
76,4,0.49308434,0.51517975,0.5065435,0.5321963
77,5,0.48507568,0.5014938,0.4957124,0.51931995
78,4,0.48978442,0.50203806,0.50077367,0.50069976
79,5,0.49411958,0.5049839,0.5091428,0.5154298
80,5,0.49464318,0.49269155,0.5058504,0.51335406
81,5,0.49326202,0.48582482,0.5072129,0.5072217
82,4,0.4939112,0.4903704,0.5014365,0.5003352
83,5,0.4971165,0.49376202,0.5028141,0.50663483
84,4,0.49559668,0.48119915,0.50807744,0.49934804
85,5,0.49169987,0.48404774,0.5025389,0.490143
86,5,0.49480498,0.50044113,0.5051735,0.5126085
87,5,0.49351856,0.47377282,0.5026553,0.49472663
88,4,0.489237,0.50065136,0.5028858,0.508281
89,5,0.49070156,0.4873971,0.5012574,0.5123746
90,5,0.49637058,0.4981764,0.5079869,0.5120246
91,4,0.49847886,0.5010029,0.50645316,0.51739013
92,4,0.4853809,0.49051207,0.50248617,0.50725603
93,5,0.49097466,0.48400548,0.5068188,0.49551484
94,5,0.4952118,0.50068146,0.4987926,0.52171826
95,4,0.49388313,0.49369437,0.5012265,0.5134939
96,5,0.49557346,0.4779165,0.50609165,0.49511725
97,5,0.48829696,0.49581292,0.49950865,0.5126542
98,5,0.49123314,0.49412674,0.50180745,0.5185904
