subject, block, trial, offer_right, offer_left, exp_value_right, exp_value_left, key, key_ID, chosen_card, unchosen_card, rt, reward
0,0,86, 1.png, 2.png,0.63520623,0.40650534, pressed right button,5,1,2,0.4980258,0
0,0,87, 1.png, 2.png,0.60347061,0.38628293, pressed left button,4,2,1,0.4349909,1
0,0,88, 1.png, 2.png,0.63733096,0.37420182, pressed right button,5,1,2,0.4110586,1
0,0,89, 1.png, 2.png,0.6083781,0.35229553, pressed right button,5,1,2,0.3753768,1
0,0,90, 2.png, 1.png,0.35898359,0.5968193, pressed left button,4,1,2,0.2641843,1
0,0,91, 2.png, 1.png,0.32523531,0.57489693, pressed left button,4,1,2,0.4758548,0
0,0,92, 2.png, 1.png,0.3268759,0.55128889, pressed left button,4,1,2,0.4605747,1
0,0,93, 1.png, 2.png,0.52774345,0.35882333, pressed right button,5,1,2,0.3928691,1
0,0,94, 2.png, 1.png,0.3949442,0.53530998, pressed left button,4,1,2,0.3738392,0
0,0,95, 2.png, 1.png,0.39153298,0.56523975, pressed left button,4,1,2,0.2924314,1
0,0,96, 2.png, 1.png,0.39950853,0.50116191, pressed left button,4,1,2,0.287376,0
0,0,97, 2.png, 1.png,0.39963173,0.48423724, pressed left button,4,1,2,0.3801802,0
0,0,98, 1.png, 2.png,0.46302955,0.38045394, pressed left button,4,2,1,0.5885715,1
0,0,99, 1.png, 2.png,0.45662196,0.36756741, pressed left button,4,2,1,0.3584173,0
0,0,100, 2.png, 1.png,0.33371617,0.49262346, pressed right button,5,2,1,0.5239782,0
