,label,x_left,y_left,x_right,y_right
0,5,0.4972011,0.47376293,0.4976071,0.49751207
1,4,0.5000733,0.48825052,0.5027612,0.5132364
2,5,0.49496517,0.48838094,0.49338734,0.5280665
3,4,0.5111953,0.52024746,0.4977206,0.52578855
4,5,0.4991008,0.49792778,0.49687484,0.5327249
5,4,0.5008558,0.5018313,0.4948207,0.5134397
6,4,0.49687403,0.48922443,0.49572957,0.531698
7,4,0.49957186,0.4900617,0.4928478,0.5279915
8,4,0.49928704,0.50680226,0.49434412,0.5055639
9,5,0.5053913,0.48097673,0.49812263,0.51973754
10,5,0.5020354,0.5062375,0.50216013,0.51135445
11,4,0.50342655,0.49805686,0.49733528,0.49646088
12,5,0.49569067,0.48581013,0.49092197,0.49346262
13,4,0.50341904,0.5043207,0.49696863,0.49881214
14,5,0.49881333,0.4797139,0.4940467,0.50993097
15,4,0.49842602,0.5009477,0.49449456,0.5056324
16,4,0.49922937,0.48473957,0.5005307,0.5206071
17,4,0.5673127,0.468101,0.5639135,0.47126594
18,5,0.5002125,0.47570658,0.49180534,0.52234745
19,4,0.4166855,0.47223455,0.4127674,0.50585216
20,5,0.49866277,0.4950599,0.49583703,0.52416205
21,5,0.5052669,0.41643438,0.5060856,0.42826617
22,4,0.4933146,0.47259733,0.49082682,0.49516413
23,5,0.49882475,0.47489113,0.49917647,0.50055754
24,5,0.52790207,0.49139485,0.5278405,0.4964735
25,4,0.5048254,0.48559025,0.5003686,0.4909104
26,5,0.5541197,0.46103713,0.54606277,0.46233997
27,5,0.49988103,0.48002988,0.49464783,0.4895357
28,5,0.49810785,0.4908626,0.49542466,0.4974704
29,4,0.44762588,0.4742097,0.44713694,0.4964931
30,5,0.49189693,0.47771758,0.4883822,0.5022751
31,5,0.49666727,0.49275702,0.49415258,0.49783668
32,5,0.50025576,0.4964437,0.4950408,0.49633655
33,4,0.5018191,0.4880739,0.49685484,0.49084255
34,5,0.6510218,0.47206786,0.643236,0.46628088
35,4,0.49810258,0.48874485,0.49462134,0.49100652
36,4,0.49532712,0.4924514,0.49435374,0.5221268
37,4,0.5012641,0.48026562,0.49972984,0.5033251
38,5,0.5062539,0.47198874,0.5033436,0.5053975
39,5,0.48188904,0.5163106,0.4835444,0.51981014
40,4,0.50109804,0.49741563,0.5041751,0.50769866
41,5,0.49631774,0.50339055,0.5001782,0.531698
42,5,0.4150827,0.48035806,0.41222864,0.47615927
43,4,0.43967336,0.4696681,0.43844643,0.47773647
44,5,0.49941203,0.49372122,0.49056333,0.51981944
45,5,0.6147973,0.4868869,0.6111176,0.4788095
46,4,0.5028119,0.49268386,0.49607384,0.4999872
47,5,0.64296645,0.49590498,0.63492095,0.4826788
48,5,0.50272703,0.48631415,0.49523893,0.49459344
49,5,0.49681467,0.5008741,0.4982845,0.5091214
50,4,0.49719307,0.52002436,0.4995569,0.5236865
51,5,0.4917057,0.51252735,0.49973276,0.51933295
52,4,0.481986,0.48821214,0.48824,0.49077588
