,label,x_left,y_left,x_right,y_right
0,4,0.49305096,0.41353348,0.48855218,0.41644078
1,4,0.5007093,0.5322079,0.4965828,0.54644346
2,5,0.4952923,0.5247075,0.49002185,0.53776765
3,5,0.49855232,0.5242795,0.49366534,0.52034044
4,4,0.49978358,0.52139354,0.49576333,0.5219128
5,5,0.50015646,0.5215294,0.49571028,0.5297685
6,5,0.49515194,0.5080074,0.4899262,0.50854594
7,4,0.5062534,0.52304006,0.5015276,0.5323005
8,5,0.511037,0.5206388,0.50067264,0.52294314
9,4,0.50629795,0.50838286,0.5023538,0.5104438
10,4,0.50465494,0.5299913,0.49902952,0.54158217
11,4,0.5059427,0.51107,0.49989173,0.5110729
12,5,0.50415766,0.51939696,0.49642572,0.5183407
13,4,0.5022808,0.5187869,0.49526247,0.5236447
14,4,0.5047041,0.51923877,0.50126654,0.5208399
15,4,0.5059582,0.4987393,0.4990191,0.49912632
16,4,0.5000762,0.51151294,0.49438614,0.51552606
17,4,0.5050256,0.52072924,0.4973158,0.52365446
18,4,0.5033987,0.5256273,0.49683857,0.528972
19,5,0.5042802,0.5204356,0.49780264,0.5340251
20,5,0.4930965,0.51015115,0.49021825,0.50705975
21,5,0.50425446,0.5309733,0.4981366,0.53465426
22,5,0.50735784,0.5211601,0.49925965,0.5187879
23,5,0.51198477,0.53431463,0.5036494,0.58724415
24,4,0.51000524,0.50477314,0.5058401,0.5047069
25,5,0.4880948,0.5234823,0.49090302,0.5283206
26,5,0.5125172,0.54156744,0.50814164,0.5358696
27,4,0.5055291,0.5153096,0.5010913,0.51377046
28,5,0.50589067,0.5305257,0.4972617,0.5368047
29,5,0.5073359,0.5257579,0.49770254,0.523026
30,5,0.504563,0.53210884,0.5000225,0.5359915
31,4,0.50388545,0.5233599,0.49693418,0.52239674
32,4,0.50753284,0.5336499,0.50405514,0.54089856
33,5,0.50905323,0.5315706,0.5048334,0.54257154
34,4,0.5094875,0.5358658,0.50388235,0.53539455
35,4,0.49969396,0.5320491,0.4931749,0.53123724
36,4,0.4978822,0.51932204,0.49162525,0.5208049
37,5,0.50231814,0.5223106,0.4971217,0.5270349
38,5,0.5115475,0.523853,0.5090329,0.53149956
39,5,0.5056727,0.50115883,0.49934843,0.5089452
40,4,0.5096373,0.52612215,0.5051479,0.5211635
41,5,0.50318855,0.53260005,0.49767312,0.52719957
42,5,0.50897944,0.5500632,0.5019851,0.5385716
43,4,0.50896245,0.5089616,0.5005834,0.51607597
44,5,0.51051307,0.54315597,0.5021201,0.54490864
45,5,0.4912583,0.5121807,0.48710606,0.5183388
46,5,0.5019245,0.49572438,0.49754995,0.4945457
47,4,0.5043382,0.5035172,0.49739254,0.5132234
48,4,0.50451386,0.53298056,0.49538118,0.5433047
49,5,0.5062416,0.50504565,0.5014023,0.503065
50,4,0.4924607,0.5178944,0.4894394,0.5206606
51,5,0.508169,0.5162461,0.4996273,0.5190706
52,4,0.5059095,0.53283054,0.50093794,0.54130226
53,5,0.5040577,0.52731436,0.49517974,0.5360445
54,5,0.49937126,0.5131406,0.48894012,0.51420903
55,4,0.49063265,0.52096915,0.48578757,0.50818163
56,4,0.50114036,0.5126394,0.49605092,0.5204436
57,5,0.5037107,0.52801746,0.49626195,0.5390577
58,4,0.5102293,0.5130615,0.50509715,0.5131196
59,4,0.49873358,0.5106281,0.49535763,0.5098613
60,5,0.5043658,0.52155685,0.5001839,0.53078246
61,4,0.5073957,0.50956845,0.49963272,0.50521255
